question_id,architecture,accuracy,tokens,latency_seconds,expected_architecture,retrieved_documents,retrieval_rounds
Q1,naive,1.0,155,0.0346,naive,"ATT-001,EXM-001,GRD-001",1
Q1,hybrid,0.0,146,0.0373,naive,"CERT-001,POL-001,REG-001",1
Q1,agentic,1.0,155,0.0264,naive,"ATT-001,EXM-001,GRD-001",1
Q2,naive,1.0,130,0.0255,hybrid,"REG-002,REG-001,EXM-001",1
Q2,hybrid,0.0,135,0.0312,hybrid,"GRAD-001,WDR-001,RET-001",1
Q2,agentic,1.0,130,0.2314,hybrid,"REG-002,REG-001,EXM-001",2
Q3,naive,1.0,142,0.0948,agentic,"REG-001,REG-002,PRE-001",1
Q3,hybrid,0.0,151,0.0801,agentic,"WDR-001,PRG-001,EXM-001",1
Q3,agentic,1.0,142,0.1593,agentic,"REG-001,REG-002,PRE-001",2
Q4,naive,1.0,159,0.037,naive,"GRD-001,RET-001,ATT-001",1
Q4,hybrid,0.0,129,0.0334,naive,"CERT-001,PRE-001,WARN-001",1
Q4,agentic,1.0,159,0.0334,naive,"GRD-001,RET-001,ATT-001",1
Q5,naive,1.0,120,0.032,naive,"GRAD-001,REG-002,PRE-001",1
Q5,hybrid,0.0,131,0.0328,naive,"EXM-001,REG-002,REG-001",1
Q5,agentic,1.0,120,0.0278,naive,"GRAD-001,REG-002,PRE-001",1
Q6,naive,1.0,150,0.0488,naive,"WARN-001,PRG-001,POL-001",1
Q6,hybrid,0.0,139,0.0453,naive,"POL-001,ADV-001,REG-002",1
Q6,agentic,1.0,150,0.0492,naive,"WARN-001,PRG-001,POL-001",1
Q7,naive,1.0,130,0.051,hybrid,"REG-001,PRE-001,REG-002",1
Q7,hybrid,0.0,150,0.0434,hybrid,"RET-001,ATT-001,ADV-001",1
Q7,agentic,1.0,130,0.0384,hybrid,"REG-001,PRE-001,REG-002",1
Q8,naive,1.0,143,0.0584,agentic,"REG-002,REG-001,PRE-001",1
Q8,hybrid,0.0,151,0.0546,agentic,"EXM-001,ADV-001,POL-001",1
Q8,agentic,1.0,143,0.035,agentic,"REG-002,REG-001,PRE-001",1
Q9,naive,1.0,147,0.0251,agentic,"WARN-001,PRG-001,POL-001",1
Q9,hybrid,0.0,165,0.0277,agentic,"GRD-001,POL-001,ATT-001",1
Q9,agentic,1.0,147,0.0351,agentic,"WARN-001,PRG-001,POL-001",1
Q10,naive,0.0,142,0.0392,hybrid,"EXM-001,PRG-001,RET-001",1
Q10,hybrid,0.0,147,0.0383,hybrid,"POL-001,GRD-001,REG-001",1
Q10,agentic,0.0,142,0.0639,hybrid,"EXM-001,PRG-001,RET-001",2
